Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Energy generation forecasting: elevating performance with machine and deep learning","Computing","","","","10.1007/s00607-023-01164-y","Aristeidis MystakidisEvangelia NtoziKonstantinos AfentoulisParaskevas KoukarasPaschalis GkaidatzisDimosthenis IoannidisChristos TjortjisDimitrios Tzovaras","2023","http://link.springer.com/article/10.1007/s00607-023-01164-y","Article"
"Trends in continuous evaluation of software architectures","Computing","","","","10.1007/s00607-023-01161-1","Rodrigo C. SoaresRafael CapillaVinicius dos SantosElisa Yumi Nakagawa","2023","http://link.springer.com/article/10.1007/s00607-023-01161-1","Article"
"A model-based infrastructure for the specification and runtime execution of self-adaptive IoT architectures","Computing","","","","10.1007/s00607-022-01145-7","Iván AlfonsoKelly GarcésHarold CastroJordi Cabot","2023","http://link.springer.com/article/10.1007/s00607-022-01145-7","Article"
"Microservice compositions based on the choreography of BPMN fragments: facing evolution issues","Computing","","105","2","10.1007/s00607-022-01128-8","Jesus OrtizVictoria TorresPedro Valderas","2023","http://link.springer.com/article/10.1007/s00607-022-01128-8","Article"
"Algorithms for path optimizations: a short survey","Computing","","105","2","10.1007/s00607-022-01126-w","S C M S De SirisuriyaT G I FernandoM K A Ariyaratne","2023","http://link.springer.com/article/10.1007/s00607-022-01126-w","Article"
"Integrating wireless sensing and decision support technologies for real-time farmland monitoring and support for effective decision making","International Journal of Information Technology","","15","2","10.1007/s41870-018-0218-9","Pawan KumarSanjay MotiaS. R. N. Reddy","2023","http://link.springer.com/article/10.1007/s41870-018-0218-9","Article"
"HaSGP: an effective graph partition method for heterogeneous-aware","Computing","","105","2","10.1007/s00607-022-01132-y","Ying ZhongChenze HuangQingbiao Zhou","2023","http://link.springer.com/article/10.1007/s00607-022-01132-y","Article"
"Community detection algorithms for recommendation systems: techniques and metrics","Computing","","105","2","10.1007/s00607-022-01131-z","Chaitali ChoudharyInder SinghManoj Kumar","2023","http://link.springer.com/article/10.1007/s00607-022-01131-z","Article"
"Weighted ensemble model for image classification","International Journal of Information Technology","","15","2","10.1007/s41870-022-01149-8","Talib IqballM. Arif Wani","2023","http://link.springer.com/article/10.1007/s41870-022-01149-8","Article"
"Fast and precise prediction of non-coding RNAs (ncRNAs) using sequence alignment and k-mer counting","International Journal of Information Technology","","15","2","10.1007/s41870-022-01064-y","Manika JhaRicha GuptaRajiv Saxena","2023","http://link.springer.com/article/10.1007/s41870-022-01064-y","Article"
"Time series-based workload prediction using the statistical hybrid model for the cloud environment","Computing","","105","2","10.1007/s00607-022-01129-7","K. Lalitha DeviS. Valli","2023","http://link.springer.com/article/10.1007/s00607-022-01129-7","Article"
"Long short term memory (LSTM) model for sentiment analysis in social data for e-commerce products reviews in Hindi languages","International Journal of Information Technology","","15","2","10.1007/s41870-022-01010-y","Vandana YadavParul VermaVinodini Katiyar","2023","http://link.springer.com/article/10.1007/s41870-022-01010-y","Article"
"GENEREIT: generating multi-talented reinforcement learning agents","International Journal of Information Technology","","15","2","10.1007/s41870-022-01137-y","Aristotelis LazaridisIoannis Vlahavas","2023","http://link.springer.com/article/10.1007/s41870-022-01137-y","Article"
"Optimization of quality of service using ECEBA protocol in wireless body area network","International Journal of Information Technology","","15","2","10.1007/s41870-022-01152-z","Renuka Sahebrao PawarDhananjay Ramrao Kalbande","2023","http://link.springer.com/article/10.1007/s41870-022-01152-z","Article"
"A probabilistic public key encryption switching scheme for secure cloud storage","International Journal of Information Technology","","15","2","10.1007/s41870-022-01084-8","Radhakrishna BhatN. R. SunithaS. S. Iyengar","2023","http://link.springer.com/article/10.1007/s41870-022-01084-8","Article"
"A novel multi-objective genetic algorithm approach to address class imbalance for disease diagnosis","International Journal of Information Technology","","15","2","10.1007/s41870-020-00471-3","Anju JainSaroj RatnooDinesh Kumar","2023","http://link.springer.com/article/10.1007/s41870-020-00471-3","Article"
"Hunger hero mobile application: applying soft system methodology at a local orphanage","International Journal of Information Technology","","15","2","10.1007/s41870-022-01101-w","Wan Abdul Rahim Wan Mohd IsaAhmad Iqbal Hakim SuhaimiNurulhuda NoordinNur Athirah HarunSyarifah Nurul Afzan Syed MohammedAmira Iffa JamilSiti Noratiqah Md AriffinNur Syahirah Addenan","2023","http://link.springer.com/article/10.1007/s41870-022-01101-w","Article"
"MRA-VC: multiple resources aware virtual machine consolidation using particle swarm optimization","International Journal of Information Technology","","15","2","10.1007/s41870-022-01102-9","Neha SongaraManoj Kumar Jain","2023","http://link.springer.com/article/10.1007/s41870-022-01102-9","Article"
"Edge exploration of anonymous graph by mobile agent with external help","Computing","","105","2","10.1007/s00607-022-01136-8","Amit Kumar DharBarun GorainKaushik MondalShaswati PatraRishi Ranjan Singh","2023","http://link.springer.com/article/10.1007/s00607-022-01136-8","Article"
"Constraint-based debugging in probabilistic model checking","Computing","","105","2","10.1007/s00607-022-01130-0","Hichem Debbi","2023","http://link.springer.com/article/10.1007/s00607-022-01130-0","Article"
"Logical concept mapping and social media analytics relating to cyber criminal activities for ontology creation","International Journal of Information Technology","","15","2","10.1007/s41870-022-00934-9","Romil Rawat","2023","http://link.springer.com/article/10.1007/s41870-022-00934-9","Article"
"Transfer learning based SSD model for helmet and multiple rider detection","International Journal of Information Technology","","15","2","10.1007/s41870-022-01058-w","C. NandhiniM. Brindha","2023","http://link.springer.com/article/10.1007/s41870-022-01058-w","Article"
"A low-rate encoder for image transmission using LoRa communication modules","International Journal of Information Technology","","15","2","10.1007/s41870-022-01077-7","Kevin GuerraJhon CasavilcaSamuel HuamánLidia LópezAlonso SanchezGuillermo Kemper","2023","http://link.springer.com/article/10.1007/s41870-022-01077-7","Article"
"Continuous QoS-aware adaptation of Cloud-IoT application placements","Computing","","","","10.1007/s00607-023-01153-1","Juan Luis HerreraJavier BerrocalStefano FortiAntonio BrogiJuan M. Murillo","2023","http://link.springer.com/article/10.1007/s00607-023-01153-1","Article"
"X-IoT: a model-driven approach to support IoT application portability across IoT platforms","Computing","","","","10.1007/s00607-023-01155-z","Flavio CorradiniArianna FedeliFabrizio FornariAndrea PoliniBarbara ReLuca Ruschioni","2023","http://link.springer.com/article/10.1007/s00607-023-01155-z","Article"
"Identification of best social media influencers using ICIRS model","Computing","","","","10.1007/s00607-023-01159-9","Kalyanee DeviRohit Tripathi","2023","http://link.springer.com/article/10.1007/s00607-023-01159-9","Article"
"Classical and quantum compression for edge computing: the ubiquitous data dimensionality reduction","Computing","","","","10.1007/s00607-023-01154-0","Maryam BagherianSarah ChehadeBen WhitneyAli Passian","2023","http://link.springer.com/article/10.1007/s00607-023-01154-0","Article"
"An intelligent resource management method in SDN based fog computing using reinforcement learning","Computing","","","","10.1007/s00607-022-01141-x","Milad AnousheeMehdi FartashJavad Akbari Torkestani","2023","http://link.springer.com/article/10.1007/s00607-022-01141-x","Article"
"Machine learning based workload balancing scheme for minimizing stress migration induced aging in multicore processors","International Journal of Information Technology","","15","1","10.1007/s41870-022-01105-6","P. Jagadeesh KumarM. G. Mini","2023","http://link.springer.com/article/10.1007/s41870-022-01105-6","Article"
"A supervised machine learning-based solution for efficient network intrusion detection using ensemble learning based on hyperparameter optimization","International Journal of Information Technology","","15","1","10.1007/s41870-022-01115-4","Arindam SarkarHanjabam Saratchandra SharmaMoirangthem Marjit Singh","2023","http://link.springer.com/article/10.1007/s41870-022-01115-4","Article"
"UML and NFR-framework based method for the analysis of the requirements of an information system","International Journal of Information Technology","","15","1","10.1007/s41870-022-01112-7","Mohd. ArifChaudhary Wali MohammadMohd. Sadiq","2023","http://link.springer.com/article/10.1007/s41870-022-01112-7","Article"
"Secure Authentication Framework for SDN-IoT network using Keccak-256 and Bliss-B algorithms","International Journal of Information Technology","","15","1","10.1007/s41870-022-01074-w","D. S. SahanaS. H. Brahmananda","2023","http://link.springer.com/article/10.1007/s41870-022-01074-w","Article"
"Knowledge graph enrichment from clinical narratives using NLP, NER, and biomedical ontologies for healthcare applications","International Journal of Information Technology","","15","1","10.1007/s41870-022-01145-y","Anjali ThukralShivani DhimanRavi MeherPunam Bedi","2023","http://link.springer.com/article/10.1007/s41870-022-01145-y","Article"
"Light Weight Gradient Ensemble Model for detecting network attack at the edge of the IoT network","International Journal of Information Technology","","15","1","10.1007/s41870-022-01140-3","D. SanthadeviB. Janet","2023","http://link.springer.com/article/10.1007/s41870-022-01140-3","Article"
"An improvised CNN model for fake image detection","International Journal of Information Technology","","15","1","10.1007/s41870-022-01130-5","Yasir HamidSanaa ElyassamiYonis GulzarVeeran Ranganathan BalasaraswathiTetiana HabuzaSharyar Wani","2023","http://link.springer.com/article/10.1007/s41870-022-01130-5","Article"
"A big data smart agricultural system: recommending optimum fertilisers for crops","International Journal of Information Technology","","15","1","10.1007/s41870-022-01150-1","Vuong M. NgoThuy-Van T. DuongTat-Bao-Thien NguyenCach N. DangOwen Conlan","2023","http://link.springer.com/article/10.1007/s41870-022-01150-1","Article"
"TConvRec: temporal convolutional-recurrent fusion model with additional pattern learning","International Journal of Information Technology","","15","1","10.1007/s41870-022-01116-3","Brijendra SinghRashi Jaiswal","2023","http://link.springer.com/article/10.1007/s41870-022-01116-3","Article"
"Editorial","International Journal of Information Technology","","15","1","10.1007/s41870-023-01156-3","M. N. Hoda","2023","http://link.springer.com/article/10.1007/s41870-023-01156-3","Article"
"Extracting information and inferences from a large text corpus","International Journal of Information Technology","","15","1","10.1007/s41870-022-01123-4","Sandhya AvasthiRitu ChauhanDebi Prasanna Acharjya","2023","http://link.springer.com/article/10.1007/s41870-022-01123-4","Article"
"Study of drug assimilation in human system using physics informed neural networks","International Journal of Information Technology","","15","1","10.1007/s41870-022-01117-2","Kanupriya GoswamiArpana SharmaMadhu PruthiRicha Gupta","2023","http://link.springer.com/article/10.1007/s41870-022-01117-2","Article"
"A proposed hybrid clustering algorithm using K-means and BIRCH for cluster based cab recommender system (CBCRS)","International Journal of Information Technology","","15","1","10.1007/s41870-022-01113-6","Supreet Kaur MannSonal Chawla","2023","http://link.springer.com/article/10.1007/s41870-022-01113-6","Article"
"Lattice abstraction-based content summarization using baseline abstractive lexical chaining progress","International Journal of Information Technology","","15","1","10.1007/s41870-022-01080-y","G. Bharathi MohanR. Prasanna Kumar","2023","http://link.springer.com/article/10.1007/s41870-022-01080-y","Article"
"Predicting opinion evolution based on information diffusion in social networks using a hybrid fuzzy based approach","International Journal of Information Technology","","15","1","10.1007/s41870-022-01109-2","Samson Ebenezar UthirapathyDomnic Sandanam","2023","http://link.springer.com/article/10.1007/s41870-022-01109-2","Article"
"Customized decision tree-based approach for classification of soil on cloud environment","Computing","","","","10.1007/s00607-022-01144-8","K. Aditya ShastryH. A. Sanjay","2022","http://link.springer.com/article/10.1007/s00607-022-01144-8","Article"
"A model-based approach for specifying changes in replications of empirical studies in computer Science","Computing","","","","10.1007/s00607-022-01133-x","Margarita CruzBeatriz BernárdezAmador DuránCathy Guevara-VegaAntonio Ruiz-Cortés","2022","http://link.springer.com/article/10.1007/s00607-022-01133-x","Article"
"A Microservice Deployment Guide","Programming and Computer Software","","48","8","10.1134/S0361768822080151","V. M. Niño-MartínezJ. O. Ocharán-HernándezX. LimónJ. C. Pérez-Arriaga","2022","http://link.springer.com/article/10.1134/S0361768822080151","Article"
"TLP-LDPC: Three-Level Parallel FPGA Architecture for Fast Prototyping of LDPC Decoder Using High-Level Synthesis","Journal of Computer Science and Technology","","37","6","10.1007/s11390-022-1499-9","Yi-Fan ZhangLei SunQiang Cao","2022","http://link.springer.com/article/10.1007/s11390-022-1499-9","Article"
"Study of the Problem of Ensuring Security in Storage and Processing of Confidential Data","Programming and Computer Software","","48","7","10.1134/S0361768822070064","S. A. MartishinM. V. KhrapchenkoA. V. Shokurov","2022","http://link.springer.com/article/10.1134/S0361768822070064","Article"
"Building Adaptable Dashboards for Smart Cities: Design and Evaluation","Programming and Computer Software","","48","8","10.1134/S0361768822080072","V. ContrerasL. MontanéT. CeperoE. BenitezC. Mezura","2022","http://link.springer.com/article/10.1134/S0361768822080072","Article"
"Scrumlity: An Agile Framework Based on Quality of User Stories","Programming and Computer Software","","48","8","10.1134/S0361768822080199","Claudia TonaSamantha JiménezReyes Juárez-RamírezRafael González Pacheco LópezÁngeles QuezadaCésar Guerra-García","2022","http://link.springer.com/article/10.1134/S0361768822080199","Article"
"SOCA-DOM: A Mobile System-on-Chip Array System for Analyzing Big Data on the Move","Journal of Computer Science and Technology","","37","6","10.1007/s11390-022-1087-z","Le-Le LiJiang-Yi LiuJian-Ping FanXue-Hai QianKai HwangYeh-Ching ChungZhi-Bin Yu","2022","http://link.springer.com/article/10.1007/s11390-022-1087-z","Article"
"Process Improvement in Software Requirements Engineering: A Systematic Mapping Study","Programming and Computer Software","","48","8","10.1134/S0361768822080084","S. AlmeydaA. Dávila","2022","http://link.springer.com/article/10.1134/S0361768822080084","Article"
"Automatic Code Generation of User-centered Serious Games: A Decade in Review","Programming and Computer Software","","48","8","10.1134/S0361768822080187","P. O. Silva-VásquezV. Y. Rosales-MoralesE. Benítez-Guerrero","2022","http://link.springer.com/article/10.1134/S0361768822080187","Article"
"Software Testing in the DevOps Context: A Systematic Mapping Study","Programming and Computer Software","","48","8","10.1134/S0361768822080175","B. PandoA. Dávila","2022","http://link.springer.com/article/10.1134/S0361768822080175","Article"
"A Model and Declarative Language for Specifying Binary Data Formats","Programming and Computer Software","","48","7","10.1134/S0361768822070040","A. A. EvginM. A. SolovevV. A. Padaryan","2022","http://link.springer.com/article/10.1134/S0361768822070040","Article"
"Tools for Capturing and Processing High-Speed Network Traffic","Programming and Computer Software","","48","8","10.1134/S0361768822080011","D. V. LarinA. I. Get’man","2022","http://link.springer.com/article/10.1134/S0361768822080011","Article"
"Software Project Estimation Using Smooth Curve Methods and Variable Selection and Regularization Methods as an Alternative to Linear Regression Models when the Reference Database Presents a Wedge-shape Form","Programming and Computer Software","","48","8","10.1134/S0361768822080205","Francisco Valdés-SoutoLizbeth Naranjo-Albarrán","2022","http://link.springer.com/article/10.1134/S0361768822080205","Article"
"Preventing Vulnerabilities Caused by Optimization of Code with Undefined Behavior","Programming and Computer Software","","48","7","10.1134/S0361768822070027","R. V. BaevL. V. SkvortsovE. A. KudryashovR. A. BuchatskiyR. A. Zhuykov","2022","http://link.springer.com/article/10.1134/S0361768822070027","Article"
"Tetris: A Heuristic Static Memory Management Framework for Uniform Memory Multicore Neural Network Accelerators","Journal of Computer Science and Technology","","37","6","10.1007/s11390-021-1213-3","Xiao-Bing ChenHao QiShao-Hui PengYi-Min ZhuangTian ZhiYun-Ji Chen","2022","http://link.springer.com/article/10.1007/s11390-021-1213-3","Article"
"IoT enabled smart dustbin with messaging alert system","International Journal of Information Technology","","14","7","10.1007/s41870-022-00947-4","Dipesh YadavAnish PandeyDaiwik MishraTrinanjana BagchiAnkita MahapatraP. ChandrasekharAshwani Kumar","2022","http://link.springer.com/article/10.1007/s41870-022-00947-4","Article"
"Optimization of Artificial Neural Networks using Wavelet Transforms","Programming and Computer Software","","48","6","10.1134/S036176882206007X","N. VershkovM. BabenkoA. TchernykhV. KuchukovN. KucherovN. KuchukovaA. Yu. Drozdov","2022","http://link.springer.com/article/10.1134/S036176882206007X","Article"
"Method for Convolutional Neural Network Hardware Implementation Based on a Residue Number System","Programming and Computer Software","","48","8","10.1134/S0361768822080217","M. ValuevaG. ValuevM. BabenkoA. TchernykhJ. M. Cortes-Mendoza","2022","http://link.springer.com/article/10.1134/S0361768822080217","Article"
"Formal Verification of Blockchain Based Tender Systems","Programming and Computer Software","","48","8","10.1134/S0361768822080096","René DávilaRocío Aldeco-PérezEverardo Bárcenas","2022","http://link.springer.com/article/10.1134/S0361768822080096","Article"
"LinkD: element-based data interlinking of RDF datasets in linked data","Computing","","104","12","10.1007/s00607-022-01107-z","Mohamed Salah KettouchCristina Luca","2022","http://link.springer.com/article/10.1007/s00607-022-01107-z","Article"
"Usability Evaluation of BCI Software Applications: A systematic review of the literature","Programming and Computer Software","","48","8","10.1134/S0361768822080163","Y. N. OrtegaC. Mezura-Godoy","2022","http://link.springer.com/article/10.1134/S0361768822080163","Article"
"A clustering approach for software defect prediction using hybrid social mimic optimization algorithm","Computing","","104","12","10.1007/s00607-022-01100-6","K ThirumoorthyJ Jerold John Britto","2022","http://link.springer.com/article/10.1007/s00607-022-01100-6","Article"
"A Survey of Network Traffic Classification Methods Using Machine Learning","Programming and Computer Software","","48","7","10.1134/S0361768822070052","A. I. GetmanM. K. Ikonnikova","2022","http://link.springer.com/article/10.1134/S0361768822070052","Article"
"Modified Error Detection and Localization in the Residue Number System","Programming and Computer Software","","48","8","10.1134/S0361768822080126","A. GladkovV. KuchukovM. BabenkoA. TchernykhV. BerezhnoyA. Yu. Drozdov","2022","http://link.springer.com/article/10.1134/S0361768822080126","Article"
"Plagiarism Detection in Armenian Texts Using Intrinsic Stylometric Analysis","Programming and Computer Software","","48","7","10.1134/S0361768822070039","Ye. M. YeshilbashianA. A. AsatryanTs. G. Ghukasyan","2022","http://link.springer.com/article/10.1134/S0361768822070039","Article"
"Achieving highly efficient breast ultrasound tumor classification with deep convolutional neural networks","International Journal of Information Technology","","14","7","10.1007/s41870-022-00901-4","Arnab Kumar MishraPinki RoySivaji BandyopadhyaySujit Kumar Das","2022","http://link.springer.com/article/10.1007/s41870-022-00901-4","Article"
"Using Deep Reinforcement Learning for Selecting Network Traffic Features in Intrusion Detection Systems","Programming and Computer Software","","48","6","10.1134/S0361768822060020","V. V. Belikov","2022","http://link.springer.com/article/10.1134/S0361768822060020","Article"
"Minimum Epsilon-Kernel Computation for Large-Scale Data Processing","Journal of Computer Science and Technology","","37","6","10.1007/s11390-022-2429-6","Hong-Jie GuoJian-Zhong LiHong Gao","2022","http://link.springer.com/article/10.1007/s11390-022-2429-6","Article"
"Linear B-cell epitopes prediction using bagging based proposed ensemble model","International Journal of Information Technology","","14","7","10.1007/s41870-022-00951-8","Vishan Kumar GuptaAvdhesh GuptaParas JainPankaj Kumar","2022","http://link.springer.com/article/10.1007/s41870-022-00951-8","Article"
"A novel machine learning inspired algorithm to predict real-time network intrusions","International Journal of Information Technology","","14","7","10.1007/s41870-022-00925-w","Keshava SrinivasNarayanan PrasanthRahul TrivediNaman BindraS. P. Raja","2022","http://link.springer.com/article/10.1007/s41870-022-00925-w","Article"
"Editorial","International Journal of Information Technology","","14","7","10.1007/s41870-022-01134-1","M. N. Hoda","2022","http://link.springer.com/article/10.1007/s41870-022-01134-1","Article"
"Questions clustering using canopy-K-means and hierarchical-K-means clustering","International Journal of Information Technology","","14","7","10.1007/s41870-022-01012-w","Marwah AlianGhazi Al-Naymat","2022","http://link.springer.com/article/10.1007/s41870-022-01012-w","Article"
"Design of classical-quantum systems with UML","Computing","","104","11","10.1007/s00607-022-01091-4","Ricardo Pérez-CastilloMario Piattini","2022","http://link.springer.com/article/10.1007/s00607-022-01091-4","Article"
"A framework for modeling and executing task-Specific resource allocations in business processes","Computing","","104","11","10.1007/s00607-022-01093-2","Sven IhdeLuise PufahlMaximilian VölkerAsvin GoelMathias Weske","2022","http://link.springer.com/article/10.1007/s00607-022-01093-2","Article"
"VAMPIRE: vectorized automated ML pre-processing and post-processing framework for edge applications","Computing","","104","11","10.1007/s00607-022-01096-z","Ali W. DaherEnrico FerrariMarco MuselliHussein ChibleDaniele D. Caviglia","2022","http://link.springer.com/article/10.1007/s00607-022-01096-z","Article"
"A distributed task orchestration scheme in collaborative vehicular cloud edge networks","Computing","","","","10.1007/s00607-022-01119-9","Shilpi MittalRajan Kumar DudejaRasmeet Singh BaliGagangeet Singh Aujla","2022","http://link.springer.com/article/10.1007/s00607-022-01119-9","Article"
"Data Repository in Framework for Computation Pipelining: Model, Architecture, the Implementation Performance Estimates","Programming and Computer Software","","48","5","10.1134/S0361768822050048","A. A. IvankovG. A. Manuilov","2022","http://link.springer.com/article/10.1134/S0361768822050048","Article"
"FlexPDA: A Flexible Programming Framework for Deep Learning Accelerators","Journal of Computer Science and Technology","","37","5","10.1007/s11390-021-1406-9","Lei LiuXiu MaHua-Xiao LiuGuang-Li LiLei Liu","2022","http://link.springer.com/article/10.1007/s11390-021-1406-9","Article"
"IoT-Gov: an IoT governance framework using the blockchain","Computing","","104","10","10.1007/s00607-022-01086-1","Anass SedratiAafaf OuaddahAbdellatif MezriouiBadr Bellaj","2022","http://link.springer.com/article/10.1007/s00607-022-01086-1","Article"
"Embedded and RF switchable ultra-wide band filter bank architecture for radar applications","International Journal of Information Technology","","14","6","10.1007/s41870-022-01061-1","Madhu NakirekantiY. Hemalatha","2022","http://link.springer.com/article/10.1007/s41870-022-01061-1","Article"
"LARIC: latency-aware QoS routing for interactive communication in software defined multimedia","International Journal of Information Technology","","14","6","10.1007/s41870-022-01053-1","P. SugunaR. Leela Velusamy","2022","http://link.springer.com/article/10.1007/s41870-022-01053-1","Article"
"Reliability and Incentive of Performance Assessment for Decentralized Clouds","Journal of Computer Science and Technology","","37","5","10.1007/s11390-022-2120-y","Jiu-Chen ShiXiao-Qing CaiWen-Li ZhengQuan ChenDe-Ze ZengTatsuhiro TsuchiyaMin-Yi Guo","2022","http://link.springer.com/article/10.1007/s11390-022-2120-y","Article"
"On the correctness of a lock-free compression-based elastic mechanism for a hash trie design","Computing","","104","10","10.1007/s00607-022-01085-2","Miguel AreiasRicardo Rocha","2022","http://link.springer.com/article/10.1007/s00607-022-01085-2","Article"
"Rule based approach for compound segmentation and paraphrase generation in Sanskrit","International Journal of Information Technology","","14","6","10.1007/s41870-022-01033-5","Vandana DhingraMihir M. Joshi","2022","http://link.springer.com/article/10.1007/s41870-022-01033-5","Article"
"Editorial","International Journal of Information Technology","","14","6","10.1007/s41870-022-01099-1","M. N. Hoda","2022","http://link.springer.com/article/10.1007/s41870-022-01099-1","Article"
"Choice of Activation Function in Convolutional Neural Networks for Person Re-Identification in Video Surveillance Systems","Programming and Computer Software","","48","5","10.1134/S0361768822050036","H. ChenS. IhnatsyevaR. BohushS. Ablameyko","2022","http://link.springer.com/article/10.1134/S0361768822050036","Article"
"Achieving starvation-freedom in multi-version transactional memory systems","Computing","","104","10","10.1007/s00607-021-00994-y","Ved Prakash ChaudharyChirag JuyalSandeep KulkarniSweta KumariSathya Peri","2022","http://link.springer.com/article/10.1007/s00607-021-00994-y","Article"
"Resource optimization in performance modeling for serverless application","International Journal of Information Technology","","14","6","10.1007/s41870-022-01073-x","Anisha KumariManoj Kumar PatraBibhudatta SahooRanjan Kumar Behera","2022","http://link.springer.com/article/10.1007/s41870-022-01073-x","Article"
"Recognition of human skin diseases using inception-V3 with transfer learning","International Journal of Information Technology","","14","6","10.1007/s41870-022-01050-4","Md. Al MamunMd. Solaiman KabirMorium AkterMohammad Shorif Uddin","2022","http://link.springer.com/article/10.1007/s41870-022-01050-4","Article"
"A Fast longest crossing-plain preserving common subsequence algorithm","International Journal of Information Technology","","14","6","10.1007/s41870-022-01038-0","Tarek G. KenawyMohammad H. Abdel-RahmanHazem M. Bahig","2022","http://link.springer.com/article/10.1007/s41870-022-01038-0","Article"
"Enhancing N-Gram Based Metrics with Semantics for Better Evaluation of Abstractive Text Summarization","Journal of Computer Science and Technology","","37","5","10.1007/s11390-022-2125-6","Jia-Wei HeWen-Jun JiangGuo-Bang ChenYu-Quan LeXiao-Fei Ding","2022","http://link.springer.com/article/10.1007/s11390-022-2125-6","Article"
"Portfolio optimization in stocks using mean–variance optimization and the efficient frontier","International Journal of Information Technology","","14","6","10.1007/s41870-022-01052-2","Shiva AgarwalNaresh Babu Muppalaneni","2022","http://link.springer.com/article/10.1007/s41870-022-01052-2","Article"
"An automatic text summarization based on valuable sentences selection","International Journal of Information Technology","","14","6","10.1007/s41870-022-01049-x","Elham Rahimzadeh MahallehFarhad Soleimanian Gharehchopogh","2022","http://link.springer.com/article/10.1007/s41870-022-01049-x","Article"
"Towards dynamic and heterogeneous social IoT environments","Computing","","","","10.1007/s00607-022-01113-1","Daniel Flores-MartinJavier BerrocalJosé García-AlonsoJuan M. Murillo","2022","http://link.springer.com/article/10.1007/s00607-022-01113-1","Article"
"A systematic mapping study on automated analysis of privacy policies","Computing","","104","9","10.1007/s00607-022-01076-3","Jose M. Del AlamoDanny S. GuamanBoni GarcíaAna Diez","2022","http://link.springer.com/article/10.1007/s00607-022-01076-3","Article"
"An insight into cloud forensic readiness by leading cloud service providers: a survey","Computing","","104","9","10.1007/s00607-022-01077-2","Pranitha SandaDigambar PawarV. Radha","2022","http://link.springer.com/article/10.1007/s00607-022-01077-2","Article"
"A novel and efficient salp swarm algorithm for large-scale QoS-aware service composition selection","Computing","","104","9","10.1007/s00607-022-01080-7","Jun LiHao RenChenYang LiHuiling Chen","2022","http://link.springer.com/article/10.1007/s00607-022-01080-7","Article"
"Performability modeling of safety-critical systems through AADL","International Journal of Information Technology","","14","5","10.1007/s41870-022-01004-w","Shakeel AhamadDr. Ratneshwer Gupta","2022","http://link.springer.com/article/10.1007/s41870-022-01004-w","Article"
"An overview of data reduction solutions at the edge of IoT systems: a systematic mapping of the literature","Computing","","104","8","10.1007/s00607-022-01073-6","Laércio PioliCarina F. DornelesDouglas D. J. de MacedoMario A. R. Dantas","2022","http://link.springer.com/article/10.1007/s00607-022-01073-6","Article"
